exposure_days,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_discharged,symptomatic,vaccinated,FoI_max,FoI_community
0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
3.3000000000000016,0.1,7.1097455436603125,7.236419841706777,1,0,1755.0,1,1,0.2825887519626007,0.061943250586220536
6.499999999999993,0.1,5.730897321243153,7.143950369566676,1,1,2771.0,1,1,6.774100672562383e-6,8.318955891296717e-6
10.899999999999977,0.1,14.56129424135651,7.718726523245002,1,0,3451.0,1,1,2.3454696745945818e-8,1.563089456492456e-8
10.09999999999998,0.1,11.096725040664184,8.538434163998325,1,0,5018.0,1,1,0.0024122330841988104,0.0018375247335219325
5.299999999999997,0.1,3.6702673371575143,7.573196516663847,1,0,7532.0,0,1,0.0007422834296329017,0.0012802271198788684
4.300000000000001,0.1,4.709310896334476,6.85700062510478,1,0,31051.0,1,1,15.839574150265477,6.225307125869125
5.1999999999999975,0.1,8.952811243602032,5.702896764395311,1,0,40948.0,0,1,5.362642514064697,1.7044899020604214
4.899999999999999,0.1,3.4662980093222098,8.541747815047126,1,1,40976.0,1,1,2.529755104206975e-6,4.0673644957416255e-6
2.9000000000000012,0.1,2.4140119966538935,8.025598399742078,1,1,47899.0,1,1,0.23873429338978047,0.17921101392400454
10.999999999999977,0.1,4.435639760521938,6.692059430850024,0,0,48795.0,0,1,0.0004282600069144463,0.0014028447565623047
3.900000000000002,0.1,5.566848424273782,8.639612966011246,1,0,49350.0,0,1,0.00021330009005064682,6.301036036193754e-5
2.800000000000001,0.1,4.065222171599468,9.290230584688008,1,0,49697.0,0,1,5.811646214232563e-5,1.397152009016066e-5
6.699999999999992,0.1,5.5869430325991605,8.912933922988827,1,1,54780.0,1,1,0.0003321539174562617,0.0005157257300540285
3.900000000000002,0.1,5.368100104063519,5.337243183799823,1,0,57298.0,0,1,1.3323534716043295e-6,4.0353851568644835e-7
5.899999999999995,0.1,4.537678130808806,7.354702827152076,1,1,69499.0,1,1,0.011005446809535415,0.0173890311246235
5.699999999999996,0.1,7.2964557218101955,8.463080013823225,1,0,70640.0,1,1,0.26138998327308843,0.10864966092995626
