exposure_days,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_discharged,symptomatic,vaccinated,FoI_max,FoI_community
0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
5.1999999999999975,0.1,6.004276994591166,6.036506474572693,1,0,65362.0,0,1,0.7232545451392496,0.30887983006924313
3.5000000000000018,0.1,3.4291453223405393,7.160173240924409,0,1,80918.0,1,1,6.0457805524521774e-5,2.787435114843371e-5
10.999999999999977,0.1,7.280765315481068,9.523418909895216,0,1,93550.0,1,1,1.3296954397729697,4.309530546852942
3.1000000000000014,0.1,2.9278465089259744,5.828189328475558,1,1,96500.0,1,1,4.3571707695289,2.2450293678767452
4.300000000000001,0.1,6.218191888429926,8.111438706854871,1,0,129493.0,1,1,5.9299687236209575,1.8486855689540147
5.1999999999999975,0.1,8.53704169050556,5.612254280328564,1,0,151109.0,1,1,1.2598709614971402e-6,4.113806490268912e-7
5.399999999999997,0.1,7.8598721296315635,5.318092744993313,1,0,229705.0,1,1,0.001821231873012196,0.000659313185781261
10.499999999999979,0.1,3.88538387620497,6.800282173295658,0,0,397126.0,0,1,0.0008716019434879472,0.0028887823359931395
4.899999999999999,0.1,7.010821209374097,6.083262705219702,1,0,408394.0,0,1,2.8680869975943857,0.9826378675893549
8.899999999999984,0.1,4.78642127317576,5.644193607459393,1,0,494921.0,0,1,0.2779546040475577,0.7293531125180529
5.399999999999997,0.1,8.298815370607612,9.940653170355851,1,0,530996.0,0,1,1.926917122120591,0.6724599153271924
7.39999999999999,0.1,10.860503709445215,6.402534345146106,1,0,670057.0,1,1,1.16369491573504,0.5272545002056072
4.100000000000001,0.1,5.668855159678828,8.822424738607626,1,0,716820.0,1,1,0.009441964699493249,0.002943703525610278
7.29999999999999,0.1,6.67171417675442,6.187290733618662,0,1,730641.0,1,1,0.0050532855970095,0.00609408375449822
8.299999999999986,0.1,5.791852541839001,8.60486600183186,1,0,819894.0,0,1,8.998940529289509e-6,2.2186855474211693e-5
4.799999999999999,0.1,8.084946649150053,9.292015031387422,1,0,846748.0,1,1,0.7941574447730863,0.2423391885299363
4.4,0.1,4.039003376306453,6.3346178625172325,1,0,924594.0,0,1,0.11202202621101616,0.08644855537161812
15.499999999999961,0.1,7.315412540782318,8.416231569673409,1,0,984039.0,0,1,0.01236190398958102,0.052078787712581315
3.5000000000000018,0.1,2.061421607904057,7.802652426240428,1,1,994297.0,1,1,5.171035674162264,7.674755727986746
4.5,0.1,4.939403955426187,7.00549053591658,1,0,1.112923e6,1,1,4.1168329775597865,1.6668568214447936
9.99999999999998,0.1,6.271661421381067,5.348284392879056,1,0,1.115301e6,0,1,0.0010666172047661517,0.0027356336701012556
11.899999999999974,0.1,8.184939086580895,5.58728784151432,1,0,1.146488e6,0,1,22.392181535630613,61.80290143381036
3.600000000000002,0.1,5.261755992845404,8.489602063031642,1,0,1.263372e6,0,1,6.2417817494676155,1.7279224830326683
6.699999999999992,0.1,5.095347718244773,8.816384841906608,1,1,1.440276e6,1,1,0.04972935417332044,0.09322643995660286
4.100000000000001,0.1,2.514187701513544,5.127010752990433,0,1,1.445943e6,1,1,0.004194767507280543,0.006045496602348104
5.699999999999996,0.1,4.915765245045286,8.937537171911426,0,1,1.47024e6,1,1,0.0004003479471410464,0.000475987009297096
2.800000000000001,0.1,6.6897992440578005,8.348566155126072,1,0,1.655876e6,0,1,0.5270947600068825,0.10297970222424288
5.1999999999999975,0.1,7.029071901645007,6.997197610029527,1,0,1.702939e6,0,1,3.2082790005247963,1.1944592268126557
6.999999999999991,0.1,6.440914487330863,7.010385541553071,0,1,1.75935e6,1,1,5.547071283382688e-7,6.201879442420625e-7
2.700000000000001,0.1,2.1698154686699307,9.288716344822705,0,1,1.773517e6,1,1,3.36292361251567,2.760454764772512
