exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliance,FoI_max,FoI_community
4.300000000000001,0.9999999999999999,2.0000000000000004,9.99999999999998,0.1,7.771543989487026,8.999282926727258,4542.0,0,0,1,1.0,0.0007366617654134837,0.0007499270727399345
0.4,2.0000000000000004,0.0,9.99999999999998,0.1,8.267806469304698,8.717814281468598,4846.0,1,0,1,1.0,5.659048216715267e-6,3.384683967296855e-7
0.6,2.0000000000000004,0.0,9.99999999999998,0.1,8.171659335646735,7.838154731883864,5012.0,1,0,1,1.0,0.13010985661877228,0.012026365474049094
0.4,2.0000000000000004,2.0000000000000004,9.99999999999998,0.1,4.00444213104193,9.153118329303659,6996.0,0,0,1,1.0,2.2056800543631727,0.13176224429857683
2.700000000000001,4.999999999999998,2.0000000000000004,9.99999999999998,0.1,6.200373857349943,8.563368084734012,7166.0,0,0,1,1.0,0.016457214538854213,0.008789973770248394
0.2,13.999999999999966,2.0000000000000004,9.99999999999998,0.1,15.53406868633849,8.525354234386944,8613.0,0,0,1,1.0,0.0009873999550507433,2.892678540242906e-5
0.7999999999999999,2.0000000000000004,0.0,9.99999999999998,0.1,6.157796703194315,7.4137027317083035,11139.0,1,0,1,1.0,4.455205852667863,0.5696278537223365
0.9999999999999999,2.0000000000000004,0.0,9.99999999999998,0.1,5.750005346849676,9.319582866665531,13210.0,1,0,1,1.0,0.02345929975058064,0.003693565332791138
0.7999999999999999,2.0000000000000004,13.999999999999966,0.0,0.1,5.939236691134683,9.094976716252095,18058.0,0,0,1,1.0,0.00015574721117427178,1.9347941460766913e-5
1.0999999999999999,2.0000000000000004,0.0,9.99999999999998,0.1,7.036590954949187,9.45914421672986,18326.0,1,0,1,1.0,2.7762644523124784,0.48463165621940535
2.3000000000000007,2.0000000000000004,5.999999999999995,9.99999999999998,0.1,9.240506935670872,9.709379002163052,19741.0,0,0,1,1.0,3.573257474880272e-5,1.49145561827928e-5
1.3,2.0000000000000004,0.0,9.99999999999998,0.1,15.63785578425658,8.380135329816245,20030.0,1,0,1,1.0,0.0014062906578808008,0.00030829105464232987
0.30000000000000004,5.999999999999995,0.0,9.99999999999998,0.1,10.383314484206414,7.624683487734655,21412.0,1,0,1,1.0,0.003841252567960237,0.00017088722205753983
11.399999999999975,0.9999999999999999,13.999999999999966,0.0,0.1,16.354838905118623,9.62689385548712,21479.0,0,0,1,1.0,0.3712936001901033,1.649788168628779
0.7999999999999999,2.0000000000000004,0.0,9.99999999999998,0.1,5.939376997691951,7.324042209636028,21522.0,1,0,1,1.0,0.011470192481146732,0.0014576047330010144
2.500000000000001,0.9999999999999999,2.0000000000000004,9.99999999999998,0.1,7.370435910494442,7.900662925777608,21630.0,0,0,1,1.0,0.022564790768808126,0.011196058948012073
1.9000000000000006,2.0000000000000004,0.0,9.99999999999998,0.1,7.30921884535016,7.214120356375373,21906.0,1,0,1,1.0,0.007073438963680423,0.002508620624032871
0.30000000000000004,2.0000000000000004,0.0,9.99999999999998,0.1,6.3900461528048496,9.10084338757938,22207.0,1,0,1,1.0,0.06684322018313558,0.0029317156803072486
1.2,5.999999999999995,5.999999999999995,9.99999999999998,0.1,8.50952754691086,8.93902116264145,22585.0,0,0,1,1.0,0.279658924056697,0.054767689486139214
0.6,5.999999999999995,0.0,9.99999999999998,0.1,14.030143991810117,8.791159204122675,22901.0,1,0,1,1.0,0.15440929735096734,0.014074859023387521
0.6,2.0000000000000004,2.0000000000000004,9.99999999999998,0.1,5.684432719238386,8.455313140979293,23057.0,0,0,1,1.0,0.0030664649110848903,0.0002811812409884055
1.5000000000000002,5.999999999999995,0.0,9.99999999999998,0.1,7.286243818416564,9.056425043512277,28389.0,0,0,1,1.0,0.041355397038604726,0.010439918062956844
0.2,2.0000000000000004,0.0,9.99999999999998,0.1,14.144986131305693,5.8458677994079515,28625.0,1,0,1,1.0,0.0025177157879108683,7.526291170602045e-5
0.1,2.0000000000000004,0.0,9.99999999999998,0.1,8.655882096369789,9.614779460231082,29843.0,1,0,1,1.0,2.016060482063916e-5,2.8933026399835333e-7
2.500000000000001,3.0000000000000013,5.999999999999995,9.99999999999998,0.1,9.2118441091187,9.948355702872037,31029.0,0,0,1,1.0,0.08066938274088939,0.037231829960122295
1.3,13.999999999999966,0.0,0.0,0.1,6.444574983314807,9.866196051208629,32235.0,1,0,1,1.0,2.93087136115891e-7,6.233111345992271e-8
3.1000000000000014,2.0000000000000004,2.0000000000000004,9.99999999999998,0.1,5.3523140941788965,9.996305361586977,36140.0,0,0,1,1.0,3.332104766988681e-6,2.025196273337844e-6
4.200000000000001,2.0000000000000004,13.999999999999966,0.0,0.1,11.919904960189236,8.061404662950315,36142.0,0,0,1,1.0,0.00521522437339568,0.005461185746608147
2.600000000000001,2.0000000000000004,2.0000000000000004,9.99999999999998,0.1,6.848873437332343,8.892715375972443,36256.0,0,0,1,1.0,0.0010400215863479564,0.0005193900606889825
0.1,0.9999999999999999,5.999999999999995,9.99999999999998,0.1,8.337768450861457,7.947984425586676,37129.0,0,0,1,1.0,6.2442755898839435,0.09109656587747222
0.2,2.0000000000000004,0.0,9.99999999999998,0.1,8.534540802622706,9.568317722964242,39709.0,1,0,1,1.0,0.07996764556355017,0.002335285731723877
1.6000000000000003,2.0000000000000004,2.0000000000000004,9.99999999999998,0.1,5.9894307978638315,9.329253899868867,39784.0,0,0,1,1.0,1.72398102741888e-6,4.647207117360077e-7
