exposure_days,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_discharged,symptomatic,vaccinated,FoI_max,FoI_community
0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
8.399999999999986,0.1,6.26063257120705,8.1440903159592,1,0,49236.0,0,1,2.7743743454349303,6.214664512853264
4.999999999999998,0.1,5.253957949544194,8.174112697133587,1,0,54345.0,1,1,0.0008822800857490554,0.0004039903956747144
3.2000000000000015,0.1,4.916781103463637,6.015355905031869,1,0,68900.0,1,1,0.24110686061888412,0.06043709959595699
7.899999999999988,0.1,7.288261085514044,8.76153985820454,0,1,69018.0,1,1,3.9327501942991514,5.0110466090176295
4.899999999999999,0.1,4.78060274439538,9.132141236653592,1,1,127537.0,1,1,9.39535361488557,6.078543257294831
5.599999999999996,0.1,4.731532627833835,6.732796622634002,0,1,127542.0,1,1,4.629741880132293,5.67301194537781
3.1000000000000014,0.1,5.553447025836211,7.313566594840632,1,0,127661.0,1,1,0.018072656648861256,0.004120542750271959
3.2000000000000015,0.1,3.0847819561296337,5.912944067599889,0,1,136968.0,1,1,0.6232287990721949,0.32379844682245174
9.89999999999998,0.1,12.95878550376594,5.503221908140139,1,0,160411.0,0,1,0.0012992990847677263,0.0008142345908457955
4.100000000000001,0.1,4.100670395193889,8.280306824954788,1,1,176455.0,1,1,0.0020347862150451755,0.0008539874091927763
5.599999999999996,0.1,5.057302764491054,5.688681668537007,1,1,201558.0,1,1,3.49237551195749,3.505990315889266
5.099999999999998,0.1,6.469522011292656,7.733871600440403,1,0,246125.0,1,1,0.24563608388697505,0.09496596475778919
10.29999999999998,0.1,9.887461579763936,9.975179523701376,1,1,268747.0,1,1,1.842007136662992e-5,2.383850360347043e-5
4.300000000000001,0.1,5.823558026188377,7.7453323014935895,1,0,275926.0,0,1,0.002999392809815431,0.000979330903411021
4.200000000000001,0.1,5.6526628825359895,5.886791819716129,1,0,289912.0,1,1,0.03160701804333037,0.010208236356216194
2.9000000000000012,0.1,5.544158473346587,7.463192708620793,1,0,292817.0,0,1,0.03460260510809297,0.0074126963449220986
1.9000000000000006,0.1,6.067336491186417,6.89830562907065,1,0,331128.0,0,1,2.7158985897942167,0.42447459483279676
6.8999999999999915,0.1,5.351718668557947,5.796014131089345,1,0,336899.0,0,1,0.0014397573395931007,0.002445395881104641
3.1000000000000014,0.1,4.894467023643461,5.596771900191763,1,0,394947.0,1,1,0.004724960464677576,0.0011460180222724312
3.2000000000000015,0.1,6.071285737984442,6.097466467135569,1,0,430955.0,0,1,0.5336872781948435,0.12076811755746054
5.1999999999999975,0.1,3.848122820470418,8.451420904051265,1,0,444617.0,0,1,0.2475301140402508,0.3864878147994146
8.299999999999986,0.1,10.237158301756102,9.827072835048964,1,0,463006.0,1,1,0.15652917044837764,0.08981574524599824
3.1000000000000014,0.1,3.028722182985821,9.908104877023536,0,1,480525.0,1,1,4.679610997813682,2.027912522432154
8.999999999999984,0.1,4.116670509309881,5.030720727756346,0,0,486166.0,0,1,0.16966177769980412,0.42484037964497295
5.699999999999996,0.1,5.177594554457473,9.954006404139207,1,0,498726.0,0,1,0.3779200569717247,0.3936451754714778
6.999999999999991,0.1,4.182868398400975,9.176516193950462,1,0,508863.0,0,1,4.352611680035329,11.080451559540558
5.4999999999999964,0.1,10.327641975190527,9.63992258707146,1,0,556066.0,0,1,0.0004525563934525342,0.00014274662384127637
8.299999999999986,0.1,5.408211339949667,7.618753071451801,1,0,559684.0,0,1,10.867066658094055,27.04408256570357
4.6,0.1,5.057220779800893,9.680049675147934,1,0,559688.0,0,1,0.495041710111837,0.20326221785810392
9.99999999999998,0.1,10.863688369649616,8.121187775001175,1,0,559692.0,1,1,0.5421967682160775,0.4149285439585307
7.19999999999999,0.1,7.596374659539184,7.766025960804703,1,0,608934.0,0,1,19.251492980938654,11.62511991290915
4.5,0.1,4.674389822124016,8.722537250377597,1,0,608937.0,0,1,17.68450037708532,7.596104389494139
7.19999999999999,0.1,4.893727059879883,7.062799048649643,1,1,626642.0,1,1,7.352483406002564,16.092687950440357
5.599999999999996,0.1,4.589124731255486,9.209407224837939,1,0,651245.0,0,1,0.3656337148676132,0.5146473020016367
5.1999999999999975,0.1,5.275118287496308,6.719181657122457,1,1,672381.0,1,1,0.0003746149901995826,0.00018392120601199596
16.599999999999966,0.1,7.597248587777421,9.353737107973217,1,0,678734.0,0,1,3.8188543140379783,17.925148207432542
