exposure_days,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_discharged,symptomatic,vaccinated,FoI_max,FoI_community
0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
6.999999999999991,0.1,6.642950876572484,5.0131206641732735,1,1,635.0,1,1,1.4014061136365825,1.3334764303732927
4.200000000000001,0.1,6.413111197831601,5.3457797606023325,1,0,1134.0,0,1,0.02303008135298937,0.006828500651525289
5.599999999999996,0.1,4.069655773122236,6.1234946665807595,1,0,1516.0,0,1,1.2296288407691445e-6,2.0006266900620037e-6
7.599999999999989,0.1,7.0029187652817,8.920089537866769,0,1,1818.0,1,1,1.60406092460386,1.8835899302213674
4.699999999999999,0.1,4.54848625300755,9.82134369399243,1,0,6398.0,0,1,0.864796575096361,0.5494145008795929
3.0000000000000013,0.1,2.964024598464092,9.957323855652803,1,1,11507.0,1,1,3.610189316820939,1.5256617375914319
3.900000000000002,0.1,3.1966904130410754,5.538911964513602,1,1,12221.0,1,1,6.1985817488188e-11,6.325517546672062e-11
5.799999999999995,0.1,3.5437675215666546,5.513794952455484,1,0,12253.0,0,1,3.77644116111741e-5,7.130840347518812e-5
4.5,0.1,4.79750770263176,9.512823659743692,1,0,16055.0,1,1,7.6635641485815e-8,3.199339410058865e-8
10.09999999999998,0.1,8.637890674454475,8.090708379236435,1,1,17815.0,1,1,1.5556104885894693,3.0607093036086686
4.300000000000001,0.1,2.7290929916326907,9.903447069217872,1,0,19824.0,0,1,0.0005889214565748724,0.0009749801921745172
11.999999999999973,0.1,2.321285311511734,9.828778220352133,0,0,19826.0,0,1,10.034733967978791,45.047690695046555
7.19999999999999,0.1,6.218191888429926,8.111438706854871,1,0,20802.0,0,1,5.9299687236209575,8.487502330245498
4.4,0.1,5.446594173783642,9.165902777268126,1,0,20804.0,1,1,0.21709285990278712,0.07731929942593821
5.4999999999999964,0.1,2.7901444028779196,6.073326791978877,1,0,21943.0,0,1,2.442294545957928,5.180093144470119
4.4,0.1,5.7948221300412595,6.024065938563105,1,0,22512.0,1,1,0.058741758218051304,0.01989297962735179
4.5,0.1,5.225826495129324,8.668999534809728,1,0,22977.0,1,1,0.011526129955911638,0.004414961174163864
