exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliance,FoI_max,FoI_community
2.0000000000000004,2.0000000000000004,2.0000000000000004,9.99999999999998,0.1,5.856704583633182,9.876408400252217,106.0,0,0,0,1.0,0.00013202078087140267,4.60782314589522e-5
13.399999999999968,6.999999999999991,0.0,0.0,0.1,15.93452070821092,6.199981503397691,106.0,1,1,0,1.0,0.17930042389306647,0.6175923733619227
10.499999999999979,6.999999999999991,0.0,0.0,0.1,9.689889802749459,7.900934531489239,178.0,1,1,0,1.0,0.25339247349583516,0.9575621064893045
0.4,2.0000000000000004,0.0,9.99999999999998,0.1,7.383701517769433,8.079148785844048,214.0,1,0,0,1.0,0.7584189886954587,0.04579518350562858
0.1,5.999999999999995,0.0,9.99999999999998,0.1,9.348286182199685,6.311258329169068,477.0,0,0,0,1.0,0.04161259319567357,0.0006054801986626648
0.7999999999999999,5.999999999999995,2.0000000000000004,9.99999999999998,0.1,5.841793442892995,9.663588745513367,499.0,0,0,0,1.0,0.027847379404558177,0.003422293387691928
4.699999999999999,6.999999999999991,0.0,0.0,0.1,5.69864375454066,7.8228965824162175,518.0,1,0,0,1.0,0.02895518424959733,0.03647128150763133
5.299999999999997,6.999999999999991,0.0,0.0,0.1,5.396796274264434,8.666394633607158,595.0,1,0,0,1.0,0.0010553408604077417,0.0015217828824092908
0.5,2.0000000000000004,0.0,9.99999999999998,0.1,4.274995663049184,9.257931838457019,659.0,1,0,0,1.0,9.383602119509508,0.7056457426705579
2.2000000000000006,2.0000000000000004,0.0,9.99999999999998,0.1,9.747587249073076,8.084774244679917,686.0,1,0,0,1.0,0.00038546717839903525,0.0001579851766340816
2.1000000000000005,4.999999999999998,2.0000000000000004,9.99999999999998,0.1,7.662895578616162,9.474131803953881,754.0,0,0,0,1.0,0.07478407994000459,0.027976121983230684
1.3,2.0000000000000004,5.999999999999995,9.99999999999998,0.1,9.048714949431117,8.795402759862451,820.0,0,0,0,1.0,4.420622614122698,0.9499597756173157
3.3000000000000016,2.0000000000000004,0.0,9.99999999999998,0.1,11.580349341809082,9.928727661922823,1106.0,1,0,0,1.0,0.00010207576053828429,6.787705285022565e-5
0.6,2.0000000000000004,13.999999999999966,0.0,0.1,5.422698774176274,9.803940947267053,1117.0,0,0,0,1.0,1.5492112653710412e-7,1.4036525914263078e-8
8.099999999999987,6.999999999999991,0.0,0.0,0.1,6.5155007685624335,5.086893154762824,1239.0,0,0,0,1.0,0.1638173111297003,0.40548671728802116
8.899999999999984,6.999999999999991,0.0,0.0,0.1,8.129414846193018,6.095498472675023,1239.0,0,1,0,1.0,0.6127020297148243,1.8015024711956225
8.199999999999987,6.999999999999991,0.0,0.0,0.1,8.97740084572066,6.88688660361727,1277.0,1,1,0,1.0,4.2632455191510426,13.591782628399304
11.499999999999975,6.999999999999991,0.0,0.0,0.1,4.1364963928863325,8.16490204809183,1277.0,0,1,0,1.0,0.027121231046998373,0.10280152941465953
