exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliance,household,ext_group,FoI_max,FoI_community
2.2000000000000006,2.0000000000000004,13.999999999999966,0.0,0.1,8.632087901919617,5.782502461331261,1697.0,0,0,1,1.0,2985,1,2.590088781829462,1.1914594138121621
9.99999999999998,2.0000000000000004,13.999999999999966,0.0,0.1,19.25964393977887,6.59369631363711,6014.0,0,1,0,1.0,10629,1,3.2890203539034224,10.962864735066988
0.5,0.9999999999999999,13.999999999999966,0.0,0.1,5.5326195120831745,9.410981476839456,7625.0,0,0,0,1.0,13478,1,0.6180754458511156,0.04644877609267145
10.399999999999979,3.0000000000000013,13.999999999999966,0.0,0.1,14.399867441296413,9.472801587692022,9315.0,0,0,1,1.0,16468,2,4.970163149589548,21.298817620425694
6.299999999999994,2.0000000000000004,13.999999999999966,0.0,0.1,9.406282002514201,5.248800921103475,10412.0,0,1,1,1.0,18415,1,0.6358798658487428,1.502855999932884
1.0999999999999999,2.0000000000000004,0.0,9.99999999999998,0.1,5.763966503359454,8.755653103610742,11129.0,1,0,1,1.0,19692,2,0.06660032349695073,0.01193700928745948
3.3000000000000016,3.0000000000000013,13.999999999999966,0.0,0.1,7.6397168527310635,5.978192946468546,11245.0,0,0,1,1.0,19884,2,0.05942036177487533,0.04974243578332052
3.3000000000000016,0.9999999999999999,13.999999999999966,0.0,0.1,8.575527343401504,8.543911676134641,13152.0,0,0,1,1.0,23260,1,9.542197011701982e-6,6.659039448583167e-6
6.299999999999994,4.000000000000002,13.999999999999966,0.0,0.1,9.711509145578544,7.845597000489048,15285.0,0,0,1,1.0,27038,2,0.001640573493519808,0.0035695642421395817
14.699999999999964,13.999999999999966,0.0,0.0,0.1,8.246190823852519,9.86547664331928,15623.0,0,1,0,1.0,27647,0,1.3969211085912893e-8,6.636633698389647e-8
0.5,2.0000000000000004,15.99999999999996,0.0,0.1,8.05331486440076,8.902671160141587,16663.0,0,0,0,1.0,29479,2,8.412304079154885e-6,6.357614779648203e-7
1.8000000000000005,2.0000000000000004,13.999999999999966,0.0,0.1,5.8838238716803835,9.11260246149888,16781.0,0,0,1,1.0,29692,2,0.035723309582669234,0.011312515757257008
0.6,2.0000000000000004,0.0,9.99999999999998,0.1,4.906550997073798,7.899224507271057,19505.0,1,0,1,1.0,34516,2,2.5377059796935737,0.23246185086370838
0.7,5.999999999999995,0.0,9.99999999999998,0.1,8.528940858939274,9.502337758046563,19791.0,1,0,1,1.0,35014,2,0.013758985574186332,0.001482443579813834
0.7999999999999999,5.999999999999995,15.99999999999996,0.0,0.1,4.5797862948930215,8.57105462482388,20843.0,0,0,1,1.0,36866,1,1.3938613203117263,0.1747115049306636
0.7999999999999999,3.0000000000000013,13.999999999999966,0.0,0.1,6.2651856503525485,8.921634554764655,22089.0,0,0,1,1.0,39082,2,1.2086897269588688e-7,1.5213410530986975e-8
12.69999999999997,13.999999999999966,0.0,0.0,0.1,8.781512025751962,8.309376448072786,22766.0,0,1,0,1.0,40286,0,10.449777761230873,42.60224539542825
8.699999999999985,13.999999999999966,0.0,0.0,0.1,6.2284527290914,5.186658044505563,23916.0,0,1,0,1.0,42321,0,0.12069890546306852,0.30787711698980874
5.599999999999996,0.9999999999999999,13.999999999999966,0.0,0.1,11.487075640504056,7.072364803109867,24270.0,0,0,1,1.0,42946,2,0.34014674411411566,0.6495190819689006
4.899999999999999,5.999999999999995,13.999999999999966,0.0,0.1,5.135794697151373,9.572258411815312,26146.0,0,0,1,1.0,46253,2,6.9909012570011e-5,8.318216332842235e-5
0.2,4.000000000000002,20.000000000000014,0.0,0.1,8.735750640923127,9.869057348390331,26490.0,0,0,1,1.0,46854,1,0.9167057064478471,0.02647745646341031
1.2,5.999999999999995,0.0,9.99999999999998,0.1,9.056270618490396,7.818697214213057,26568.0,0,0,1,1.0,47005,2,3.0104263417243393,0.6051508074657878
13.699999999999967,13.999999999999966,0.0,0.0,0.1,5.030924935888417,9.763817097085699,26933.0,0,1,0,1.0,47652,0,0.4658985922075217,2.1134812131786607
0.2,2.0000000000000004,0.0,9.99999999999998,0.1,8.258964948342395,9.75533839896757,27322.0,1,0,1,1.0,48337,2,0.03331020936163828,0.0009759368389860521
0.7999999999999999,13.999999999999966,0.0,0.0,0.1,4.844803858895206,6.010963178647266,30391.0,0,0,1,1.0,53762,0,0.026623194604873394,0.003479317701792488
3.2000000000000015,13.999999999999966,0.0,0.0,0.1,9.118730657905566,8.14688589922157,31977.0,1,0,0,1.0,56574,0,1.225127891172322e-6,8.43681869827118e-7
7.799999999999988,13.999999999999966,0.0,0.0,0.1,2.5612862311451963,5.344754775055773,32490.0,0,0,0,1.0,57485,0,0.0026746853989033613,0.0068728389816203215
2.2000000000000006,3.0000000000000013,13.999999999999966,0.0,0.1,9.250965325001035,6.49976956416566,33260.0,0,0,1,1.0,58843,1,6.821052668723137e-5,3.0345816268479273e-5
12.399999999999972,13.999999999999966,0.0,0.0,0.1,9.166199569096838,6.7891868135350455,33690.0,0,1,0,1.0,59611,0,1.5955966774288914,5.542758353546932
3.4000000000000017,2.0000000000000004,13.999999999999966,0.0,0.1,5.586875241339038,6.099639441626305,33844.0,0,0,1,1.0,59879,2,2.5929718143840415,2.3005786678397
1.6000000000000003,13.999999999999966,0.0,0.0,0.1,4.432535304556884,6.197823690290085,35204.0,0,0,1,1.0,62287,0,0.7770277630795477,0.22929923772249913
