days,partial,optimal
-5,0.07584644029514723,0.10611283821066039
-4,0.04970615352362093,0.0680602375849784
-3,0.08406870104141198,0.11450281951927885
-2,0.11898540892682133,0.16460537380653428
-1,0.10006734037129678,0.13190718906512205
0,0.1102748756810136,0.12489888555047657
1,0.09483576081296048,0.08774499159380962
2,0.09143546433631464,0.04839562823051155
3,0.0857802183609446,0.036697924723857536
4,0.06435769996271093,0.037475982110701085
5,0.03965797378987903,0.027027252928037683
6,0.015714153897538653,0.0036797947951330173
7,0.014761865798387305,0.008517487828574167
8,0.01589036112491116,0.013418666251152669
9,0.013829752290523205,0.011778868371247735
10,0.0032698025260612653,8.170060627409237e-5
11,0.005756118931806628,0.0033342414112196446
12,0.003695510097418664,0.0017214984861791361
13,8.917643252894145e-4,0
14,0.0023578636094844915,0.0017032832690426173
15,7.431369377411843e-4,0
16,0.0027835711808418895,0.0033160261940831256
17,4.458821626447241e-4,0
18,0.0024863164057453957,0.0033160261940831256
19,1.486273875482301e-4,4.527017200105446e-5
20,0.0011688445090985828,0.0016580130970415628
22,5.945095501929542e-4,0
23,2.9725477509649404e-4,0
33,1.486273875482301e-4,0
